dataset;a_plan;v_plan;t0_plan;sv_plan;st0_plan;penalty_plan;fit_plan;time_plan;dataset;a_rule;v_rule;t0_rule;sv_rule;st0_rule;penalty_rule;fit_rule;time_rule;method;AGEGRP;ALTLABEL
0_young-plan-samples4096;1,7711;3,7052;0,4135;1,2144;0,3392;0;0,9596;669,048;0_young-rule-samples4096;1,852;3,3356;0,3391;0,5476;0,2693;0;0,9939;254,518;KS;Young;A
10_young-plan-samples4096;1,6124;2,9204;0,3885;0,5858;0,3212;0;1;241,836;10_young-rule-samples4096;1,9838;3,5639;0,3373;0,96;0,2645;0;0,9992;323,137;KS;Young;A
11_young-plan-samples4096;1,8569;3,2821;0,3719;0,7684;0,3018;0;0,8997;361,752;11_young-rule-samples4096;1,975;3,2558;0,3207;0,3827;0,2533;0;0,9755;214,122;KS;Young;A
12_young-plan-samples4096;1,7058;3,1977;0,3948;0,7061;0,3311;0;1;437,052;12_young-rule-samples4096;1,9302;3,1855;0,3158;0,3943;0,2439;0;0,9489;185,829;KS;Young;A
13_young-plan-samples4096;1,8754;3,0807;0,3586;0,3378;0,287;0;0,916;171,619;13_young-rule-samples4096;2,0522;3,2689;0,3115;0,3957;0,2706;0;0,9035;186,897;KS;Young;A
14_young-plan-samples4096;1,7988;3,3484;0,3902;0,9035;0,3225;0;0,994;602,685;14_young-rule-samples4096;2,0214;3,3726;0,3161;0,6034;0,2439;0;0,9838;305,351;KS;Young;A
15_young-plan-samples4096;1,7203;3,0043;0,3843;0,5408;0,3049;0;0,9958;323,619;15_young-rule-samples4096;1,9784;3,2081;0,3172;0,1708;0,2516;0;0,9647;113,669;KS;Young;A
16_young-plan-samples4096;1,7609;3,083;0,3802;0,7308;0,3053;0;0,9932;287,513;16_young-rule-samples4096;2,0781;4,1361;0,3535;1,3093;0,2744;0;0,9372;913,622;KS;Young;A
17_young-plan-samples4096;1,8262;3,0566;0,3648;0,2917;0,3027;0;0,8427;203,574;17_young-rule-samples4096;2,0133;3,6484;0,3365;1,0432;0,2514;0;0,9639;565,123;KS;Young;A
18_young-plan-samples4096;1,9149;3,135;0,359;0,6445;0,2976;0;0,9782;413,555;18_young-rule-samples4096;1,713;3,2316;0,3554;0,4505;0,2711;0;0,9821;395,998;KS;Young;A
19_young-plan-samples4096;1,8959;3,3575;0,3746;0,7761;0,3124;0;0,9468;472,752;19_young-rule-samples4096;1,6267;3,433;0,3848;0,9965;0,2689;0;0,9958;438,25;KS;Young;A
1_young-plan-samples4096;1,8386;3,7361;0,4026;1,3312;0,3296;0;0,9846;766,419;1_young-rule-samples4096;2,091;3,8353;0,3396;0,9419;0,2877;0;0,9764;640,486;KS;Young;A
20_young-plan-samples4096;1,7739;3,7483;0,4164;1,5167;0,3179;0;0,8707;674,901;20_young-rule-samples4096;1,7013;3,3203;0,3579;0,8627;0,2686;0;0,9973;498,457;KS;Young;A
21_young-plan-samples4096;1,7735;3,1068;0,3849;0,9218;0,2883;0;0,9808;652,719;21_young-rule-samples4096;1,918;3,2876;0,3287;0,5318;0,2675;0;0,8825;206,464;KS;Young;A
22_young-plan-samples4096;1,6487;2,8912;0,3828;0,3981;0,2882;0;0,9862;274,916;22_young-rule-samples4096;1,9201;3,2463;0,3251;0,2459;0,2535;0;0,8305;141,605;KS;Young;A
23_young-plan-samples4096;1,9822;3,306;0,358;0,6788;0,2969;0;0,9931;403,214;23_young-rule-samples4096;2,0022;3,2629;0,3166;0,2976;0,2682;0;0,9005;144,154;KS;Young;A
2_young-plan-samples4096;1,8694;3,2987;0,3734;0,8104;0,3073;0;0,9924;327,184;2_young-rule-samples4096;1,9797;3,8856;0,3488;1,2749;0,2668;0;0,9987;692,984;KS;Young;A
3_young-plan-samples4096;1,7071;3,2627;0,3962;0,927;0,2984;0;0,9991;402,335;3_young-rule-samples4096;1,9068;3,5934;0,3486;0,8125;0,2611;0;0,838;393,393;KS;Young;A
4_young-plan-samples4096;1,8129;3,5854;0,404;1,3899;0,2976;0;0,952;571,429;4_young-rule-samples4096;2,0514;3,5975;0,3318;0,8173;0,2851;0;0,9907;485,538;KS;Young;A
5_young-plan-samples4096;1,7623;3,0215;0,3755;0,4184;0,3185;0;0,9121;153,974;5_young-rule-samples4096;1,9909;3,5266;0,3365;0,7263;0,2904;0;0,9859;604,665;KS;Young;A
6_young-plan-samples4096;1,761;2,9893;0,3759;0,43;0,2946;0;0,9998;174,307;6_young-rule-samples4096;2,0361;3,3635;0,3174;0,3545;0,2678;0;0,8582;162,515;KS;Young;A
7_young-plan-samples4096;1,9765;3,1868;0,3505;0,4193;0,3003;0;0,9243;135,108;7_young-rule-samples4096;1,8902;3,1566;0,3248;0,2666;0,2354;0;0,9975;110,409;KS;Young;A
8_young-plan-samples4096;1,7808;3,0482;0,3758;0,4907;0,3128;0;0,9986;186,88;8_young-rule-samples4096;1,9907;3,7917;0,3441;1,1037;0,2654;0;0,9848;667,014;KS;Young;A
9_young-plan-samples4096;1,617;2,9994;0,4021;0,5164;0,3164;0;0,998;208,103;9_young-rule-samples4096;2,1196;3,9818;0,3373;1,1913;0,2773;0;0,9985;801,456;KS;Young;A
0_middle-plan-samples4096;1,5997;2,9735;0,5609;0,476;0,4728;0;0,9959;185,812;0_middle-rule-samples4096;2,0716;2,8955;0,4055;0,0748;0,3941;0;0,8975;57,362;KS;Middle;B
10_middle-plan-samples4096;2,1558;2,9977;0,4777;0,0892;0,4318;0;0,5559;82,949;10_middle-rule-samples4096;2,0647;2,7302;0,3915;0,2265;0,3714;0;0,8822;187,452;KS;Middle;B
11_middle-plan-samples4096;2,0322;3,1883;0,5092;0,2213;0,4808;0;0,6944;143,654;11_middle-rule-samples4096;1,977;3,3249;0,4507;0,8829;0,4175;0;0,9946;477,662;KS;Middle;B
12_middle-plan-samples4096;1,5283;2,7968;0,5675;0,5174;0,4561;0;0,9881;325,444;12_middle-rule-samples4096;2,1928;3,1993;0,4176;0,2148;0,4445;0;0,9852;163,68;KS;Middle;B
13_middle-plan-samples4096;2,0349;3,2169;0,5091;0,4446;0,468;0;0,8977;244,793;13_middle-rule-samples4096;2,152;3,0918;0,4107;0,5538;0,3914;0;0,9995;361,704;KS;Middle;B
14_middle-plan-samples4096;1,5415;2,8045;0,56;0,3014;0,4719;0;0,9954;99,142;14_middle-rule-samples4096;2,0492;2,9516;0,4114;0,3805;0,3803;0;0,9994;217,758;KS;Middle;B
15_middle-plan-samples4096;1,485;2,9133;0,5767;0,5186;0,4629;0;0,9671;354,573;15_middle-rule-samples4096;2,0122;2,9663;0,4246;0,2055;0,4013;0;0,9996;133,344;KS;Middle;B
16_middle-plan-samples4096;1,4364;2,6442;0,5765;0,1669;0,4592;0;0,9766;261,146;16_middle-rule-samples4096;2,2029;2,9594;0,3987;0,0113;0,387;0;0,9977;121,848;KS;Middle;B
17_middle-plan-samples4096;1,5649;2,9454;0,5601;0,662;0,4625;0;0,9579;377,244;17_middle-rule-samples4096;1,7744;2,9396;0,4622;0,5513;0,4303;0;0,9994;285,495;KS;Middle;B
18_middle-plan-samples4096;1,6114;2,936;0,5592;0,335;0,4824;0;0,9271;296,013;18_middle-rule-samples4096;2,0586;3,0418;0,4235;0,4131;0,3963;0;0,9973;215,996;KS;Middle;B
19_middle-plan-samples4096;1,7795;3,1762;0,5429;0,5139;0,4951;0;0,9508;258,606;19_middle-rule-samples4096;1,9235;2,7473;0,4208;0,1922;0,3735;0;0,9993;281,814;KS;Middle;B
1_middle-plan-samples4096;1,6341;2,849;0,5447;0,3039;0,4576;0;0,9548;294,739;1_middle-rule-samples4096;2,1513;2,8113;0,3915;0,2142;0,3744;0;0,9139;169,234;KS;Middle;B
20_middle-plan-samples4096;1,6226;3,0275;0,5591;0,5976;0,4708;0;0,9994;426,451;20_middle-rule-samples4096;2,069;3,043;0,4175;0,5416;0,3965;0;0,9272;251,527;KS;Middle;B
21_middle-plan-samples4096;1,5546;2,9381;0,5642;0,4974;0,4736;0;0,9976;213,502;21_middle-rule-samples4096;2,0296;3,2242;0,4418;0,6751;0,4106;0;0,9215;631,004;KS;Middle;B
22_middle-plan-samples4096;1,4719;2,7432;0,5676;0,1193;0,4532;0;0,9814;225,321;22_middle-rule-samples4096;1,9585;2,8085;0,4202;0,122;0,3789;0;0,9998;247,038;KS;Middle;B
23_middle-plan-samples4096;1,3914;2,8052;0,5911;0,1299;0,4811;0;0,9933;98,719;23_middle-rule-samples4096;2,1375;3,1163;0,4074;0,4025;0,4229;0;0,9745;214,982;KS;Middle;B
2_middle-plan-samples4096;1,561;2,7727;0,5538;0,0499;0,4656;0;0,9606;132,079;2_middle-rule-samples4096;1,9754;3,43;0,4614;0,9348;0,4319;0;0,9993;331,143;KS;Middle;B
3_middle-plan-samples4096;1,4711;2,6268;0,5615;0,2047;0,4331;0;0,9038;149,401;3_middle-rule-samples4096;1,6329;2,9102;0,4833;0,5469;0,4204;0;0,9649;461,729;KS;Middle;B
4_middle-plan-samples4096;1,6967;3,048;0,5508;0,5766;0,4806;0;0,9803;295,22;4_middle-rule-samples4096;2,246;3,2033;0,4027;0,4119;0,4111;0;0,9995;248,617;KS;Middle;B
5_middle-plan-samples4096;1,5259;2,8647;0,5691;0,1056;0,4651;0;0,996;135,107;5_middle-rule-samples4096;2,169;3,0485;0,4049;0,1243;0,3901;0;0,9416;114,914;KS;Middle;B
6_middle-plan-samples4096;1,5728;2,8508;0,5586;0,1228;0,472;0;0,9956;137,392;6_middle-rule-samples4096;1,7627;3,1219;0,4755;0,7685;0,4401;0;0,9988;318,871;KS;Middle;B
7_middle-plan-samples4096;1,7886;3,0735;0,5358;0,3332;0,4924;0;0,9897;229,546;7_middle-rule-samples4096;2,0848;3,0217;0,417;0,2976;0,4098;0;0,999;120,178;KS;Middle;B
8_middle-plan-samples4096;1,7642;3,0781;0,5386;0,0741;0,4929;0;0,9795;161,456;8_middle-rule-samples4096;2,1233;2,9364;0,4022;0,0829;0,4009;0;0,9384;85,789;KS;Middle;B
9_middle-plan-samples4096;1,4135;2,6416;0,5743;0,25;0,4538;0;0,9871;199,26;9_middle-rule-samples4096;2,1815;3,0607;0,3994;0,2315;0,392;0;0,9991;123,559;KS;Middle;B
0_old-plan-samples4096;1,7529;2,3347;0,5674;0,6192;0,6057;0;0,9484;521,812;0_old-rule-samples4096;2,3025;2,5071;0,463;0,064;0,5104;0;0,9331;110,058;KS;Old;C
10_old-plan-samples4096;1,8812;2,308;0,5176;0,1929;0,6115;0;0,9994;158,334;10_old-rule-samples4096;2,2511;2,8873;0,5127;0,6927;0,5306;0;0,9949;841,299;KS;Old;C
11_old-plan-samples4096;1,7455;2,2245;0,5525;0,1057;0,6227;0;0,9995;128,866;11_old-rule-samples4096;2,1423;2,4411;0,4881;0,4331;0,453;0;0,9065;329,674;KS;Old;C
12_old-plan-samples4096;1,7344;2,7356;0,6018;0,9273;0,6378;0;0,9051;737,64;12_old-rule-samples4096;2,2728;2,5413;0,4715;0,0087;0,501;0;0,927;106,698;KS;Old;C
13_old-plan-samples4096;1,7892;2,3483;0,545;0,0077;0,6489;0;0,9705;113,647;13_old-rule-samples4096;1,8529;2,3456;0,5453;0,2886;0,5044;0;0,9997;183,315;KS;Old;C
14_old-plan-samples4096;2,0305;2,3864;0,4959;0,2324;0,6578;0;0,4381;180,49;14_old-rule-samples4096;2,2992;2,6359;0,4861;0,3744;0,4949;0;0,9687;348,007;KS;Old;C
15_old-plan-samples4096;1,8531;2,297;0,529;0,11;0,6359;0;0,9585;166,154;15_old-rule-samples4096;2,282;2,5699;0,4776;0,2012;0,5053;0;0,9958;183,922;KS;Old;C
16_old-plan-samples4096;1,7564;2,2817;0,5461;0,1871;0,6229;0;0,9997;160,148;16_old-rule-samples4096;2,1413;2,6135;0,5088;0,6046;0,4996;0;0,999;381,79;KS;Old;C
17_old-plan-samples4096;1,6523;2,2473;0,5746;0,037;0,6418;0;0,9769;123,52;17_old-rule-samples4096;2,6557;2,7516;0,431;0,2501;0,4975;0;0,7642;199,295;KS;Old;C
18_old-plan-samples4096;1,7678;3,1504;0,6251;1,1999;0,6642;0;0,9414;1040,174;18_old-rule-samples4096;2,1907;2,5386;0,4986;0,3253;0,4831;0;0,9612;264,945;KS;Old;C
19_old-plan-samples4096;1,7365;2,289;0,5524;0,3736;0,5899;0;0,9973;261,141;19_old-rule-samples4096;2,3465;2,6606;0,4773;0,3566;0,4925;0;0,9971;287,024;KS;Old;C
1_old-plan-samples4096;1,8282;2,3307;0,5249;0,3128;0,6282;0;0,9751;229,086;1_old-rule-samples4096;2,3333;2,422;0,4478;0,0429;0,4639;0;0,9997;84,28;KS;Old;C
20_old-plan-samples4096;1,7432;2,1739;0,5429;0,1228;0,6141;0;0,9607;143,901;20_old-rule-samples4096;2,0843;2,4628;0,5081;0,007;0,5118;0;0,9998;141,416;KS;Old;C
21_old-plan-samples4096;1,802;2,4007;0,5534;0,4939;0,6344;0;0,9909;502,998;21_old-rule-samples4096;2,3601;2,5129;0,4592;0,2268;0,4927;0;0,9997;196,884;KS;Old;C
22_old-plan-samples4096;1,9975;2,531;0,5185;0,4408;0,6279;0;0,5352;478,323;22_old-rule-samples4096;2,2445;2,411;0,4616;0,0766;0,4801;0;0,9317;138,654;KS;Old;C
23_old-plan-samples4096;1,9792;2,3899;0,5069;0,069;0,6045;0;0,9613;113,341;23_old-rule-samples4096;1,9045;2,2776;0,5157;0,0892;0,4993;0;0,9994;102,057;KS;Old;C
2_old-plan-samples4096;1,6949;2,3759;0,569;0,1644;0,6632;0;0,9882;226,917;2_old-rule-samples4096;2,0381;2,3529;0,5031;0,064;0,4896;0;0,9997;99,641;KS;Old;C
3_old-plan-samples4096;2,0254;2,8185;0,5535;0,8944;0,6232;0;0,8162;371,609;3_old-rule-samples4096;1,9126;2,1828;0,5122;0,0481;0,5001;0;0,9996;130,012;KS;Old;C
4_old-plan-samples4096;1,6957;2,2495;0,5611;0,175;0,6166;0;0,9998;161,864;4_old-rule-samples4096;1,7942;2,2431;0,5469;0,059;0,4886;0;0,9628;159,208;KS;Old;C
5_old-plan-samples4096;1,7241;2,7528;0,5923;0,9082;0,6474;0;0,7893;543,719;5_old-rule-samples4096;2,3343;2,8518;0,4994;0,6834;0,5215;0;0,9952;624,097;KS;Old;C
6_old-plan-samples4096;1,7182;2,3806;0,5664;0,3755;0,645;0;0,988;281,015;6_old-rule-samples4096;2,1403;2,7089;0,515;0,6601;0,5159;0;0,9979;272,539;KS;Old;C
7_old-plan-samples4096;2,0478;2,4028;0,4935;0;0,577;0;0,4893;120,567;7_old-rule-samples4096;2,3405;2,5169;0,4653;0,1252;0,4868;0;0,9891;220,286;KS;Old;C
8_old-plan-samples4096;1,902;2,5205;0,5396;0,4641;0,6462;0;0,9474;312,994;8_old-rule-samples4096;2,3527;2,5341;0,4619;0,0279;0,4945;0;0,9678;88,214;KS;Old;C
9_old-plan-samples4096;2,5301;2,7207;0,4434;0,358;0,603;0;0,1436;280,55;9_old-rule-samples4096;2,2262;2,5804;0,483;0,3782;0,5111;0;0,9992;161,301;KS;Old;C
