ID_recode;AGE;GRP_3;RT_plan;RT_rule;RT_Plan-Rule;RT_PlanRuleDIFF_abs
VPC02;36;YOUNG;1090,24375;1155,975;-65,73125;65,73125
VPC04;32;YOUNG;937,16965;812;125,16965;125,16965
VPAE35;35;YOUNG;491,64105;429,7;61,94105;61,94105
VPAE19;33;YOUNG;678,81665;608,76875;70,0479;70,0479
RPMC_07;37;YOUNG;628,60715;661;-32,39285;32,39285
VPAE34;34;YOUNG;1160,72145;672,35895;488,3625;488,3625
RPMC_01;38;YOUNG;774,5893;739,04165;35,54765;35,54765
RPMC_11;32;YOUNG;658,57735;696,02145;-37,4441;37,4441
RPMC_06;34;YOUNG;450,90715;468,84375;-17,9366;17,9366
RPMC_02;32;YOUNG;684,4899;554,36665;130,12325;130,12325
VPC01;38;YOUNG;614,1875;600,94375;13,24375;13,24375
RPMC_12;31;YOUNG;568,7654;634,0606;-65,2952;65,2952
VPAE36;49;YOUNG;1266,5824;1184,2854;82,297;82,297
RPMC_08;47;YOUNG;572,375;474,5396;97,8354;97,8354
RPMC_09;48;YOUNG;493,53125;420,53335;72,9979;72,9979
RPMC_05;43;YOUNG;781,49245;600,35;181,14245;181,14245
VP09_S1_PP;49;YOUNG;506,81025;532,6126;-25,80235;25,80235
VPAE15;45;YOUNG;350,5;389,5979;-39,0979;39,0979
RPMC_10;49;YOUNG;695,4643;700,3269;-4,8626;4,8626
VPAE37;49;YOUNG;759,84375;638,8104;121,03335;121,03335
VP17_S1_PR_2;50;YOUNG;729,2771;617,67855;111,59855;111,59855
RPMC_13;48;YOUNG;706,96425;663,64685;43,3174;43,3174
VPAE22;43;YOUNG;597,06665;634,6354;-37,56875;37,56875
VPAE32;48;YOUNG;625,4479;512,025;113,4229;113,4229
VPC07;51;MIDDLE;785,762;861,4854;-75,7234;75,7234
VPAE11;59;MIDDLE;836,75;747,92855;88,82145;88,82145
VPAE13;58;MIDDLE;954,9769;731,9667;223,0102;223,0102
VPAE09;58;MIDDLE;916,2271;835,97255;80,25455;80,25455
VPAE12;55;MIDDLE;864,625;830,05495;34,57005;34,57005
VPAE14;52;MIDDLE;1008,16665;652,96665;355,2;355,2
VPAE29;53;MIDDLE;691,8;606,46875;85,33125;85,33125
VPAE30;51;MIDDLE;541,5833;475,67435;65,90895;65,90895
VPC06;54;MIDDLE;537,1741;421,55415;115,61995;115,61995
VP16_S1_PP;54;MIDDLE;1089,85715;735,8259;354,03125;354,03125
VPAE25;55;MIDDLE;613,0104;630,58515;-17,57475;17,57475
VP15_S1_PR;57;MIDDLE;692,1456;725,16665;-33,02105;33,02105
VPAE20;65;MIDDLE;783,85415;973;-189,14585;189,14585
PR_VP10_S1;61;MIDDLE;899,125;1048,5357;-149,4107;149,4107
VP01_S1_PR;65;MIDDLE;826,21875;630,65625;195,5625;195,5625
VPAE41;62;MIDDLE;822,4;1166,375;-343,975;343,975
PR_VP18_S1;64;MIDDLE;836,8654;940,2692;-103,4038;103,4038
VPAE10;69;MIDDLE;880,8245;676,7452;204,0793;204,0793
PP_VP02_S1;67;MIDDLE;973,8346;879,89285;93,94175;93,94175
VPAE21;65;MIDDLE;572,41665;502,4107;70,00595;70,00595
CXb3;61;MIDDLE;952,41665;851,58335;100,8333;100,8333
VPAE24;69;MIDDLE;965,3722;887,6652;77,707;77,707
VPAE38;62;MIDDLE;829,25;711,5769;117,6731;117,6731
VP14_S1_PR;63;MIDDLE;1018,40625;979,5;38,90625;38,90625
VPAE18;78;OLD;1012,225;1068,3125;-56,0875;56,0875
VPAE01;71;OLD;964,28575;785,0146;179,27115;179,27115
VPAE26;82;OLD;1078,1354;1030,66875;47,46665;47,46665
VPAE07;81;OLD;1425,78335;1322,0729;103,71045;103,71045
VPAE08;82;OLD;882,0934;745,64845;136,44495;136,44495
VPAE16;84;OLD;1060,89905;977,92915;82,9699;82,9699
PP_VP07_S1;73;OLD;635,3238;718,11905;-82,79525;82,79525
VP5_S1_PR;75;OLD;1015,01375;921,47275;93,541;93,541
VPAE03;80;OLD;1108,21425;1618,63395;-510,4197;510,4197
VPAE04;81;OLD;1344,8854;910,4107;434,4747;434,4747
VPAE17;87;OLD;1125,9154;800,9495;324,9659;324,9659
VP11_S1_PP_2;76;OLD;692,35;880,82565;-188,47565;188,47565
PR_VP6_S1;79;OLD;665,1652;658,93125;6,23395;6,23395
TPH_003;75;OLD;796,75;1023,5;-226,75;226,75
R001;90;OLD;842,8894;1258,9533;-416,0639;416,0639
R006;86;OLD;747,1932;859,2216;-112,0284;112,0284
TPH_002;86;OLD;1179,70835;991,4732;188,23515;188,23515
VP03_S1_PP;78;OLD;670,375;847,9675;-177,5925;177,5925
VPAE23;72;OLD;948,62145;1069,4521;-120,83065;120,83065
R005;78;OLD;578,60715;534,3048;44,30235;44,30235
VPAE27;80;OLD;655,775;607,09165;48,68335;48,68335
R002;86;OLD;529,475;674,11665;-144,64165;144,64165
VPAE39;83;OLD;1067,2394;771,7088;295,5306;295,5306
VPAE40;82;OLD;932,875;1241,32145;-308,44645;308,44645
